                user     system      total        real
find        5.210000   2.240000   7.450000 (  8.275189)
Thread ID: 69971917711720
Total: 7.450000

 %self     total     self     wait    child    calls  name
  0.00      0.00     0.00     0.00     0.00        2  ActiveSupport::Inflector#inflections (/data/web/arch/1/lib/ruby/gems/1.8/gems/actionpack-2.3.8/lib/action_controller/routing.rb:379}
  0.00      0.00     0.00     0.00     0.00        1  Enumerable#detect (ruby_runtime:0}
  0.00      0.00     0.00     0.00     0.00    30000  ActiveRecord::ConnectionAdapters::PostgreSQLAdapter#quote_column_name (/data/web/arch/1/lib/ruby/gems/1.8/gems/activerecord-2.3.8/lib/active_record/connection_adapters/postgresql_adapter.rb:409}
  0.00      0.00     0.00     0.00     0.00    20001  PGresult#ntuples (ruby_runtime:0}
  0.00      0.00     0.00     0.00     0.00        1  ActiveRecord::ConnectionAdapters::PostgreSQLAdapter#connect (/data/web/arch/1/lib/ruby/gems/1.8/gems/activerecord-2.3.8/lib/active_record/connection_adapters/postgresql_adapter.rb:940}
  0.00      0.00     0.00     0.00     0.00        1  Kernel#class (ruby_runtime:0}
  0.00      0.00     0.00     0.00     0.00    10005  Float#+ (ruby_runtime:0}
  0.00      0.00     0.00     0.00     0.00        1  MonitorMixin#mon_acquire (/data/web/arch/1/lib/ruby/1.8/monitor.rb:282}
  0.00      0.00     0.00     0.00     0.00        1  Benchmark::Tms#format (/data/web/arch/1/lib/ruby/1.8/benchmark.rb:497}
  0.00      0.00     0.00     0.00     0.00        1  Fixnum#- (ruby_runtime:0}
  0.00      0.00     0.00     0.00     0.00       31  String#gsub! (ruby_runtime:0}
  0.00      0.00     0.00     0.00     0.00    10000  <Class::ActiveRecord::Base>#add_order! (/data/web/arch/1/lib/ruby/gems/1.8/gems/activerecord-2.3.8/lib/active_record/base.rb:1764}
  0.00      0.09     0.00     0.00     0.09    10000  Enumerable#each_with_index (ruby_runtime:0}
