                user     system      total        real
find        9.080000   2.820000  11.900000 ( 12.719397)
Thread ID: 70365856317800
Total: 11.900000

 %self     total     self     wait    child    calls  name
  0.17      0.02     0.02     0.00     0.00    20000  ActiveRecord::Relation#loaded? (/home/miles/c/rails/activerecord/lib/active_record/relation.rb:295}
  0.17      0.03     0.02     0.00     0.01    10000  <Class::ActiveRecord::Base>#find_sti_class (/home/miles/c/rails/activerecord/lib/active_record/base.rb:872}
  0.17      0.28     0.02     0.00     0.26    10000  ActiveRecord::NamedScope::ClassMethods#scoped (/home/miles/c/rails/activerecord/lib/active_record/named_scope.rb:28}
  0.17      0.02     0.02     0.00     0.00   130001  Module#=== (ruby_runtime:0}
  0.17      0.20     0.02     0.00     0.18    20000  Arel::Header#initialize (/data/web/arch/1/lib/ruby/gems/1.8/bundler/gems/arel-e589a1e/lib/arel/algebra/header.rb:5}
  0.17      0.03     0.02     0.00     0.01    10000  Arel::Compound#orders(d2) (/data/web/arch/1/lib/ruby/gems/1.8/bundler/gems/arel-e589a1e/lib/arel/algebra/relations/utilities/compound.rb:17}
  0.17      0.02     0.02     0.00     0.00    10000  Arel::Take#initialize (/data/web/arch/1/lib/ruby/gems/1.8/bundler/gems/arel-e589a1e/lib/arel/algebra/core_extensions/class.rb:27}
  0.17      0.02     0.02     0.00     0.00    20000  Arel::Value#to_sql (/data/web/arch/1/lib/ruby/gems/1.8/bundler/gems/arel-e589a1e/lib/arel/engines/sql/primitives.rb:45}
  0.17      0.02     0.02     0.00     0.00    30003  String#[] (ruby_runtime:0}
  0.17      0.02     0.02     0.00     0.00    10007  Float#* (ruby_runtime:0}
  0.17      0.04     0.02     0.00     0.02    80006  Kernel#=== (ruby_runtime:0}
  0.17      0.05     0.02     0.00     0.03    10000  Arel::Compound#orders(d1) (/data/web/arch/1/lib/ruby/gems/1.8/bundler/gems/arel-e589a1e/lib/arel/algebra/relations/utilities/compound.rb:17}
  0.17      0.02     0.02     0.00     0.00    20006  Module#== (ruby_runtime:0}
  0.17      0.02     0.02     0.00     0.00    90008  Fixnum#== (ruby_runtime:0}
  0.17      0.02     0.02     0.00     0.00   140001  Hash#has_key? (ruby_runtime:0}
  0.17      0.06     0.02     0.00     0.04    10000  ActiveRecord::QueryMethods#limit (/home/miles/c/rails/activerecord/lib/active_record/relation/query_methods.rb:60}
  0.17      0.02     0.02     0.00     0.00    40002  PGresult#ftype (ruby_runtime:0}
  0.17     11.90     0.02     0.00    11.88        1  Integer#times (ruby_runtime:0}
  0.17      0.08     0.02     0.00     0.06    10000  Arel::Compound#locked(d2) (/data/web/arch/1/lib/ruby/gems/1.8/bundler/gems/arel-e589a1e/lib/arel/algebra/relations/utilities/compound.rb:5}
  0.17      0.07     0.02     0.00     0.05    20000  Arel::Compound#orders (/data/web/arch/1/lib/ruby/gems/1.8/bundler/gems/arel-e589a1e/lib/arel/algebra/relations/utilities/compound.rb:17}
  0.17      2.15     0.02     0.00     2.13    10007  ActiveRecord::ConnectionAdapters::AbstractAdapter#log (/home/miles/c/rails/activerecord/lib/active_record/connection_adapters/abstract_adapter.rb:200}
  0.17      0.02     0.02     0.00     0.00    10001  Thread#[]= (ruby_runtime:0}
